18,Awesome new app\, so far so good.,US,2014-07-15 04:36:00,5,Gottaloveit420!,Great... Love it,427932542,
19,Love recording sound bites of where I am and what I'm doing .,US,2014-07-14 21:52:00,5,M19876,Fun!,427932542,
983,Slow\, awkward and freezes constantly. Attaches a link in all your contacts that cannot be removed\, despite a remove feature. What does work lags and freezes. Obviously the previous ratings are employees.,US,2014-02-01 22:20:00,1,TraceyFolds,Finally an honest rating,588871560,
984,Excelente App ...,US,2014-02-01 03:19:00,5,Juanita Rodriguez,Excelent App,588871560,
985,Amazingly simple for the traveling sales professional!  Just hope I can integrate it for my team of 6 and it will be just what we have been long been searching for....well done!,US,2014-01-21 04:13:00,5,LSU TGR,Wow!  I truly lucked up on finding this app!,588871560,
986,Can't wait to roll this out to our sales team!President\, TNT Medical Management,US,2014-01-10 23:55:00,5,Pooppacker,Awesome!,588871560,
987,Nice design\, developers are very responsive! No good user guide written yet\, only faq's. I have great hopes for this app and look forward to its development. Tons of promise!,US,2014-01-07 18:47:00,4,schwaxappleefreak,Good start,588871560,
988,I've chosen Appmesh to replace my ACT! Contact management software\, and so far\, I am very pleased. I've been in technology sales for over 17 years\, and I've launched my own speaking and training business\, which means a lot of cold calls\, and a lot of necessary activity tracking demands.SalesMesh has delivered with flying colors.The app allows me to track all activities with eases\, to associate any kind of interaction with users\, companies\, or deals\, and to communicate seamlessly and record those conversations.I can launch emails or phone calls right from the app\, and there's a record. The app is very stable\, and the support is outstanding.I look forward to the next release which will allow greater sync options between the app and the iOS calendar.  Other than that\, I am very pleased with this product\, and I highly recommend it.,US,2013-12-20 23:28:00,4,CEPJ,The Best Is Yet To Come,588871560,
989,I really like this app. It works great. Leo one of their employees is really helpful. I had a problem with receiving my forwarded emails\, I emailed support and within an hour I received a reply with instructions on how to solve the problem. It turned out to be me. I didn't enter the complete forwarding email address. You must be using an IPhone 5 and iPad 3. I recommend this app to anyone needing to keep track of their customers.,US,2013-12-20 02:16:00,5,KelleyTX1960,No I don't work for them/ A Great App,588871560,
990,Importing doesn't work right now. I have to manually type in contacts info which means that before I can really see what this app can do I'll have to spend most of my time typing instead of working. Maybe I can just put only new clients in.,US,2013-12-15 12:37:00,3,@davessuccess,Interesting app but doesn't seem to be finished,588871560,
991,Downloaded the latest version. Tried setting up my new account. Crashes every time during login or importing contacts. Wasted 30 mins of my time. Totally useless.,US,2013-12-12 23:40:00,1,iAchieve,Useless app. Doesn't work.,588871560,
992,I have been looking for a CRM that was even remotely useful\, in hopes that maybe ill stumble upon the perfect app later on down the road.Fortunately I spent a little time messing around with appmesh and I have to say I'm blown away. Especially because there is no reviews yet! They have it right from the beginning and that makes all the difference to me.,US,2013-12-05 21:19:00,5,Mattymoe94,Simply amazing,588871560,
993,Just what I wanted. I simply wanted to have a list of leads and track my interactions with them. This App does a great job at it.,US,2013-10-08 18:41:00,5,Vineeth8,Awesome App,588871560,
994,It was great at first.  I linked all of my contacts\, etc.  After update to iOS7\, it won't open\, won't let me login.  Support was very friendly\, but absolutely unable to help - fishy to me.  There is no online portal to manage your account.  Beware!!  So\, my data is out in the webo-sphere\, and I have an app that I cannot use.  Apple? Are you watching this company?,US,2013-10-02 13:37:00,1,Merrill House,Be wary...,588871560,
995,Great App. Easy to use and keeps improving with every update.,US,2013-10-01 19:33:00,4,007sales,WOW!,588871560,
996,Nice app\, would like to have some more integrated functionality with contacts and calendar though. Can be very frustrating. Would also like to have functionality to build 'family tree' to show relationships between contacts and be able to see which contact referred the most business.,US,2013-09-11 16:59:00,4,Rick 2.0 fish,Good\, useful app,588871560,
997,What an amazing client and sales force tracking tool,US,2013-08-24 23:20:00,5,Rexputin,Amazing,588871560,
998,For an app that is less than a year old\, its pretty good.  I would like to seethe ability to attach documents to contacts or businesses (things like proposals or quarterly statements).  You can add pictures to contact but you can't upload them for your camera roll which I think is very strange.  It would also be great if there was a map section to map out all your accounts like I've seen on other CRM apps.Overall thought\, its very good and I hope to see the\, continue to improve.,US,2013-08-11 22:51:00,4,OBixo,Good overall\, needs some improvements,588871560,
999,These guys have made and continue to improve this awesome app solution. Minor issues but all were resolved. The best support I've ever received!Excellent iOS work. I use it in iPad and iPhone and run my entire business and sales career all from with in the app. Keep up the good work!,US,2013-08-09 18:05:00,5,JEFF SILVER,Great functionality & Well thought through!!,588871560,
1000,Looks nice.,US,2013-08-08 20:09:00,5,Bigbones77,Sweet UI,588871560,
1001,App constantly crashes. Couldn't even get past initial setup on iPad 2.,US,2013-07-16 02:45:00,1,Accidental Coordination,App constantly crashes...,588871560,
1002,I've been a Salesforce subscriber for a few years now and never really liked it..but they are the big name in crm so I went with them.  SO happy I found this app before my Salesforce subscription renewed. :)  They have way better user interface\, much easier to navigate and just really intuitive....and the few times I have noticed room for improvement\, I've emailed the developers and they've been super responsive to feedback to improve the app further.  Looking forward to this app living a long life because I haven't seen another crm program that's even close to this one.  <3,US,2013-06-20 02:23:00,5,Uber happy user,GREAT crm app and interface,588871560,
1003,This app is a huge timesaver for anyone that uses their mobile device for work.  Think: a CRM you actually enjoy using. Great productivity app for any sales person.,US,2013-05-29 05:54:00,5,Shogo77,Great productivity tool,588871560,
1004,Like others say...  Doesn't even let u register. Says it can't connect to the Internet. Everything else on my phone seems to b working with the Internet though?!?!  Please fix or take it off the App Store.,US,2013-05-01 03:05:00,1,Kslguide,Doesn't work,588871560,
1005,This app will constantly crash while going through the setup wizard. If I could this app would receive zero stars.,US,2013-04-16 15:06:00,1,Super Craig McGee,UNUSABLE,588871560,
1006,I tried this app after seeing a WSJ article on it.If there was a way to give zero stars\, this app would have gotten that rating.The app opens to require you to input your email address.  It then says something snarky (perhaps they should spend time writing better code instead of trying to be funny).After crashing multiple times while trying to verify the email address\, upon the third retry\, it started telling me that I did not have an internet connection.  Completely false... Safari was connecting just fine.Tried to reach support via the button.  Takes you to a website where there is NO support\, but at least there is a Jobs button.Uninstalled and reinstalled the app\, I was then able to get through the registration process.... but then it continuously crashed when the agenda page came up.Experience was similar on my iPad 3 and my iPhone 5\, so it is not the device.Bottom line... stay away!!!,US,2013-04-09 19:30:00,1,Batmanii,Horrible app.  No support,588871560,
1007,i'm used to the clunky interfaces of web-based SRM. this app blows my mind with its modern user interface.,US,2013-04-09 17:53:00,5,moosmoos234,finally some slickness in SRM,588871560,
1008,Slick!,US,2013-04-09 13:13:00,5,CEO of Koozoo,Slick!,588871560,
1573,When I open the app and select a tutorial the app shuts down. So disappointed :((,US,2014-12-29 04:42:00,1,Caitie_P,So sorry to b down on this app:((,913487924,
1575,The new update to bellashot has caused it to crash on both ipad and iphone. i loved this app!! im sooo sad it is no longer working on my ios devises PLEASE FIX THE CRASH!!,US,2014-12-14 22:01:00,1,Invadernicki,New update,913487924,
1576,I luv this app it has tons of information\, tips\,and tutorials. Highly recommend !!A must have!,US,2014-12-07 05:05:00,5,One4skiing,Spectacular app!,913487924,
1578,I've been using Bellashoot for quite awhile now and I'm so happy they've made an app.  It's very easy to use\, runs wonderfully smoothe\, and is very convenient.  I can honestly say I love everything about it.  I mainly use it for sharing makeup looks/pictorials and uploading photos from my phone.  It's very fast and simple and I haven't found that it crashes at all.  I can get in done in practically under a minute.Thank you for making such an awesome app\, Bellashoot! 5/5 ^~^~ MollyPopsOfColorxx,US,2014-12-03 07:36:00,5,Molliiiiiii,Impressed!,913487924,
1580,Love the app,US,2014-11-23 19:33:00,5,Un angel te ama,Loved,913487924,
1582,Bellashoot is hands down one of my favorite apps!  There are so many great tips for makeup\, hair and anything to do with beauty.  I use it whenever I go out or have important meetings with clients where I have to look my best.  The tutorials are the best and I could spend hours with this app.  Anyone who wants to look their best should use Bellashoot.,US,2014-11-22 19:06:00,5,Ndon000,Love this beauty app!,913487924,
1585,I'm so excited about this app!! It's so easy to use and there's a ton of awesome content. New favorite! Two thumbs up!,US,2014-11-09 17:51:00,5,Kris1792,Bellashoot is the best!!,913487924,
1587,I am so happy there finally a beauty app that not only looks good but actually works!! I am loving all the filters and categories. Thanks Bellashoot for creating this app!!,US,2014-11-09 03:53:00,5,Rupy27,Awesome beauty app!!!!!,913487924,
1589,Such a great app to get some quick advice\, see tutorials or just browse current makeup and hair looks! Easy to invite friends to enjoy with u!,US,2014-11-08 20:41:00,5,Evernote junky,Bellashoot!!!,913487924,
1590,SO happy the app is here\, love this site!,US,2014-11-08 19:27:00,5,SoCalHil,Love it!,913487924,
1592,Easy to use and flow is good. Personalization too which is great!,US,2014-11-08 16:14:00,5,SFSanj,Simple Navigation,913487924,
1593,Everything you need to know about beauty in one place!! Awesome!!!!!,US,2014-11-06 02:12:00,5,Bellainna,Beauty,913487924,
1595,Amazing app\, super easy\, fun\, and full of beauty tips.,US,2014-11-04 07:13:00,5,Nav S,Great App!!,913487924,
1596,Super easy and fun App!!! It feels like Pinterest\, beauty addition...great for tips\, inspiration\, and photos for DIY makeup!!!,US,2014-10-28 18:37:00,5,Jamilla Jackson,Excellent App,913487924,
1598,The thing that I love about Bellashoot is it aggregates everything that a beauty enthusiast or professional could possibly want under one roof to find inspiration\, products\, or just spend hours browsing for fun.It also creates a great vehicle for connecting with others in the industry that share your similar interests\, which is hard to do on a network that isn’t really beauty focused. Bellashoot creates a true  community and place for lovers of the industry to come hang out and connect with others.,US,2014-10-28 01:43:00,5,Selly V,One Stop Community!,913487924,
1600,Easy to use and pleasing to the eye! It feels authentic to the needs and issues of everyday women.,US,2014-10-27 21:17:00,5,Lacey700,Cool!,913487924,
1602,Easy to use and keeps all my beauty inspiration pics organized.,US,2014-10-24 04:06:00,5,Jilly2014!!,Best Beauty App,913487924,
2458,Simple and useful app!,US,2014-04-19 11:11:00,4,Dovapi,Pavel,650858896,
2459,Does not show how to delete unused categories and wrong numbers.,US,2013-10-10 17:41:00,2,JK1953,No instructions for app,650858896,
2554,I love Photofy! It's easy to add text & other details to my pictures.,US,2014-12-29 22:12:00,5,ldybug303,Great!,674208785,
2555,Wow what a great app for us small business owners who want to keep time on there watch and not creating amazing content,US,2014-12-29 19:26:00,5,Tiormedia quick posting,Social media engine,674208785,
2556,I absolutely love this app\, every picture that I edited using this app looks like professionally done.,US,2014-12-29 15:49:00,5,Ladybug Bella,Great app,674208785,
2557,Love Photophy! It's my go to app to add personal flare to my pictures. The customization you get from all of the art is great.,US,2014-12-29 00:41:00,5,Mamapenguin10,My go to photo app,674208785,
2558,A great app that does what it advertises. Love it,US,2014-12-27 19:40:00,5,Nog entry,Finally!,674208785,
2559,Love the versatility of being able to use preset photo editing or individual settings!,US,2014-12-27 16:30:00,4,LEP & EDP,Great photo editor!,674208785,
2560,I have so much fun with this app! Only downside is having to pay for so many different packages. But other than that this app is awesome!!,US,2014-12-27 03:54:00,5,Yoceitak,Love this app!!,674208785,
2561,I love this app,US,2014-12-26 19:47:00,5,mada y ber,Very good,674208785,
2562,I'm new on this app but on my first try I created a picture I love and is super cute. It wasn't hard to follow and I look forward to using it often.,US,2014-12-26 14:17:00,4,VivyJo,Cool App,674208785,
2563,Love this app. Allows me so much more freedom & creativity than other photo apps. Received many compliments on my creations.,US,2014-12-24 15:02:00,5,Cookiesbycris,Love!,674208785,
2564,I absolutely love this app and use it quite often to personalize pictures!! I love all the themes and options you have to personalize your pictures.,US,2014-12-24 00:57:00,5,Lara07,Great app for pictures,674208785,
2565,It's a good app\, but it kept crashing. That's why i dont give a 5 stars.....,US,2014-12-23 21:36:00,4,Louco21,Love it,674208785,
2566,Love it so much fun for your pics,US,2014-12-23 20:09:00,5,Bettygarcia,Best photo app!,674208785,
2567,I really really wanted to give this app five stars and I really wanted to be able to use it. I have an iPhone 6 plus and I guess the photo resolution for my phone is too big for the app as every photo I load to create is already blurry and looks terrible. It doesn't seem others are having this problem but I am and I was really excited to use it and possibly buy it since I've heard so many great things but unfortunately I can't do that. I will definitely change my review if something is fixed and my photos are not blurry!,US,2014-12-23 00:48:00,2,Savannah Brooke - your fav,Not for iPhone 6,674208785,
2568,I like it a lot! Súper cool app!,US,2014-12-22 21:50:00,5,Adryanicha,Nice app,674208785,
2569,I absolutely love this app\, with so many options to choose. Keep up the good work!!!,US,2014-12-22 19:57:00,5,Rosa Tanaka,Love it!,674208785,
2570,This app is perfect for my needs. Many design options and lots of fun.,US,2014-12-22 18:28:00,5,NWinnTX,So many possibilities and loads of fun,674208785,
2571,This is a great all in one app. There are lots of options to work with to express your creativity with pictures!,US,2014-12-22 06:25:00,5,Tracktown Mike,It's all right here!,674208785,
2572,:),US,2014-12-21 02:54:00,5,Christina DeBoard,LOVE!!!,674208785,
2573,Love this app! Lots of options in the FREE version and not bombarded with ads! Get this!!!,US,2014-12-20 15:09:00,5,JoiJay,Fabulous!!,674208785,
2574,Yes... This app is pretty awesome!!! Tons of free stuff with out a pressure to purchase\, or ads that pop up!,US,2014-12-20 13:00:00,5,CurlieQQ,Digital scrapbooking,674208785,
2575,Great app with lots of cute frames and user friendly!,US,2014-12-17 17:58:00,5,K&D2007,Love,674208785,
2576,I love this app. It is my new go to app when i want to edit my photos,US,2014-12-16 14:04:00,4,Sas2404,Love it,674208785,
2577,Soo in love with this app. So many ways to add my Spicy glitter. Awesomeness AuroraLove & Light,US,2014-12-15 19:28:00,5,Tango affair,Waves of plenty,674208785,
2578,I recently bought some stickers from that app that coasted $1.99 it includes more than 100 stickers but I can't find them anywhere in the app! But they charge me for them only 9 appear. Someone help me. Beside that I love  the app!,US,2014-12-15 07:00:00,4,Bella_gonzalez,Hello,674208785,
2579,Love that they have a design for every occasion,US,2014-12-14 21:36:00,5,Angeleah0312,Love the designs,674208785,
2580,I love this app!!! I just wish it wouldn't crop off my pictures. I want the whole picture to show except it crops it into a square. Other than that it's one of the best apps out there!,US,2014-12-14 02:26:00,5,MsLilyMedina29,Perfect!,674208785,
2581,This is my favorite app for dressing up photos.  The additional pictures you can buy are also worth the money.,US,2014-12-12 17:09:00,5,Simsfam,The cutest app!,674208785,
2582,Love it,US,2014-12-12 02:19:00,5,talavou1,Love it!!!,674208785,
2583,Love this app. You can create pics really nice for any special occasion.,US,2014-12-11 00:41:00,5,Glalm,Great App,674208785,
2584,Works really well love all the fun stickers etc,US,2014-12-09 07:01:00,5,Faika07,Loove love love,674208785,
2585,I have had this app for a few months now and I really love it! I like that I don't have to update it every holiday it does it on its own and all the items are so cute and work well with what I need. So I would highly recommend this app to anyone that likes being creative with their photos,US,2014-12-08 16:36:00,5,Katybug99,Love it!,674208785,
2586,I use this for business and personal photos and I love it! Easy to use with lots to choose from with the elements! Highly recommend!,US,2014-12-08 16:18:00,5,MamaMo1017,Design me up,674208785,
2587,I love this app. Enough said!,US,2014-12-07 17:57:00,5,alybums,Love it!,674208785,
2588,Lots of options for adding a personal touch to my photos and it is easy to use!,US,2014-12-07 06:44:00,5,bren1884,Beautiful editing,674208785,
2589,Loving this app\, it's super cool!!!!,US,2014-12-07 04:15:00,5,Crazy~Beautiful,Super cool,674208785,
2590,So easy and fast! Love how professional and clean my pictures look.,US,2014-12-07 02:43:00,5,@meredithschneider,Love it!!,674208785,
2591,I like this app a lot. It's very versatile but my only bad note is that it keeps freezing up! I wish it wouldn't do that. But other then that it's a great app to have! Especially with the ability to text!!,US,2014-12-06 23:35:00,3,Miss Cali Jaye,Great app but keeps freezing,674208785,
2592,Great app with hundreds of options!!!,US,2014-12-06 08:08:00,5,Keoughlr,,674208785,
2593,It has something for everyone. From my 3 year old to my mom. Great creative choices.,US,2014-12-05 17:23:00,5,Punkinadrie,Love it!,674208785,
2594,Just love it,US,2014-12-05 14:55:00,5,Munecabella1972,Amazing,674208785,
2595,Finally you have prints! There is a Walgreens right next to my house too!!! You guys rock,US,2014-12-05 04:02:00,5,breaker05,Printing!!,674208785,
2596,I used to use an app to make a collage then another one to add stickers then another one to add frames\, but this app has it all! I love this app and it gives you so many different ways to customize frames & stickers to make them your own! This app is a must have!!,US,2014-12-04 20:01:00,5,MizzHB,Love this app!,674208785,
2597,Buy it. You won't regret it.,US,2014-12-04 04:54:00,5,sandricm,Best App Ever.,674208785,
2598,My go to app for pictures! Love it!,US,2014-12-03 20:39:00,5,MommycOcO,Love,674208785,
2599,I LOVE how creative you can get with this app. You can do so many things with it that I forget I have other photo editing apps. One of THE best on the market!!!,US,2014-12-03 18:41:00,5,DriosM201,The app I turn to EVERY time!!,674208785,
2600,Such a great app  love it. I delete all of my other photos app. Because this is all I need. Use it every day!!,US,2014-12-03 02:07:00,5,Curly7876,Great,674208785,
2601,If you like to make your pictures fun\, THIS is the app!,US,2014-12-02 22:28:00,5,LaJoss,Love it!!!! You can be sooo creative ^_^,674208785,
2602,The app is smoother and faster now. The save feature is nice too - would like to be able to save more than 1 though! Keep the updates coming.,US,2014-12-01 23:33:00,5,Ndjonny,Faster app now,674208785,
2603,To be a paid app this app should already have been optimized for iPhone 6 and 6+,US,2014-12-01 21:36:00,1,Dilxon,Optimize for iPhone 6,674208785,
2604,Good app,US,2014-11-30 21:41:00,4,Manders021,Good app,674208785,
